text,title
"throughout israel's war on gaza , serbia has sought to publicly avoid political involvement in the conflict , with belgrade maintaining a relatively neutral position aimed at preserving relationships .","as gaza is pummelled, is serbia secretly sending weapons to israel?"
nan,professors arrested as police use ‘violence’ to clear us university camp
nan,the take: a palestinian doctor’s fight to speak about gaza on nakba day
nan,‘the war made me ugly’ says palestinian girl
nan,colombia president cuts ties with israel over war on gaza
nan,rafah rescue team uses pulley to retrieve man injured by israeli attack
nan,global day of action over gaza war
"mass graves found in two hospitals in the gaza strip containing 392 bodies , including those of women , children and the elderly , showed signs of torture and executions , officials in the enclave have said .",evidence of torture as nearly 400 bodies found in gaza mass graves
"burlington , vermont – if it can happen here , it can happen anywhere .",'rendered invisible'
"israel's military campaign in gaza has brought "" relentless death and destruction "" to palestinians in the strip , united nations secretary - general antonio guterres has said .",israel has brought ‘relentless death and destruction’ to gaza: un chief
this live page is now closed .,israel war on gaza updates: ‘we’re running from death towards death’
nan,the take: why israeli military units could be sanctioned by the us
the live page is now closed . you can continue to follow our coverage of the war in gaza here .,"israel’s war on gaza updates: israel blocked half of march food convoys, un"
"thousands of israelis have joined a march through occupied east jerusalem , with some attacking palestinians and shouting racist slogans , as part of an annual demonstration marking israel's occupation of the city .","thousands of israelis march through jerusalem, some attacking palestinians"
"israel's prime minister benjamin netanyahu has approved plans for an attack on rafah , where 1 . 4 million displaced palestinians have sought shelter , while planning to send a team to further truce talks in qatar after mocking a ceasefire proposal by hamas as "" ridiculous "" .",israel approves plan to attack gaza’s rafah but keeps truce talks alive
""" it smells like death , "" says maha thaer , a mother of four , as she returns to her devastated home in khan younis after israeli troops announced their withdrawal from southern gaza .",khan younis ‘smells like death’ as palestinians return to devastated homes
"the united states is considering imposing sanctions on the israeli battalion , netzah yehuda , an all - male ultra - orthodox battalion unit accused of human rights violations during its operations in the occupied west bank , according to us media reports .","what is netzah yehuda, the israeli battalion facing possible us sanctions?"
nan,israel supporters attack anti-war protesters at ucla university in us
nan,icc seeks arrest warrants for leaders of israel and hamas
nan,hezbollah commander killed in israeli drone strike in lebanon
nan,us universities crack down on pro-palestine protests
nan,police clear pro-palestine encampment at ucla
"the only effective and efficient way to deliver heavy goods to meet gaza's humanitarian needs is by road and includes an exponential increase in commercial deliveries , says the united nations secretary - general antonio guterres .","only effective way to ramp up gaza aid is by land, un chief guterres says"
"mcdonald's has said it will buy its 30 - year - old israel franchise from alonyal , taking back ownership of 225 outlets that employ more than 5 , 000 people .",mcdonald’s buys all 225 of israeli franchise restaurants after boycotts
"here's how things stand on wednesday , march 13 , 2024 :","is­rael’s war on gaza: list of key events, day 159"
this live page is now closed . you can continue to follow our coverage of the war on gaza here .,israel’s war on gaza updates: israeli strikes kill dozens of palestinians
"washington , dc – us president joe biden has signed into law a $ 94bn foreign funding bill that includes military aid to israel , ukraine and taiwan , ending a months - long legislative impasse in washington over the assistance .","biden signs law securing billions in us aid for ukraine, israel"
the live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: israel ‘negative’ on hamas truce proposal
nan,how gaza protest at columbia university has escalated
nan,what does the un resolution on gaza ceasefire mean?
clashes between students and police officers have been reported all over the united states during intensifying university protests .,are us campus protests against israel’s war on gaza going global?
"on may 5 , the breaking news that hamas had accepted a ceasefire deal spread like wildfire across gaza , sending people to the streets celebrating . their joy was short - lived , however , as israel pressed forward with a deadly ground assault on rafah .",the us and israel are playing a dangerous game
"an israeli tank crew "" likely "" opened machinegun fire on an identifiable group of journalists near the border with lebanon who were also targetted by shelling , a new report has found .",israeli tank ‘likely’ fired machinegun at journalists near lebanon border
"at least three seafarers have been killed in a houthi missile attack on a merchant ship in the gulf of aden , the united states military said , marking the first fatalities reported since the iran - aligned yemeni group began attacks against shipping in one of the world's busiest sea lanes over israel's war on gaza .",houthi attack kills three sailors in group’s first fatal strike on shipping
"fitch ratings has upgraded qatar to aa , its third - highest rating , on the back of revenues expected from its expanded gas fields , the agency has said .",fitch ratings upgrades qatar to third-highest on back of gas expansion
"turkey has halted exports and imports to and from israel , the turkish ministry of trade says , citing the "" worsening humanitarian tragedy "" in gaza .",turkey says it halts trade with israel over gaza aid access
tensions and tit - for - tat attacks are escalating between israel and the lebanese group hezbollah .,are lebanon’s hezbollah and israel about to go to war?
the united nations human rights office says war crimes may have been committed by both israeli forces and palestinian armed groups during an israeli raid on nuseirat in central gaza last week .,israeli killings of gaza civilians during raid may be war crimes: un
nan,what we know about deadly houthi attack on cargo ship
"melbourne , australia – israel's continued assault on gaza has highlighted a hidden yet crucial component of the world's weapons manufacturing industry – suburban australia .",australia challenged on ‘moral failure’ of weapons trade with israel
nan,us students use graduation to stand with palestine
several antigovernment groups in israel have launched a week of resistance against the government .,will israel’s week of resistance make a difference?
"on april 22 , students set up an encampment at the university of michigan to demand the university's complete and total divestment from genocidal israel . they thus joined dozens of other universities across the united states in standing up in solidarity with the palestinian people who are facing genocide at the hands of the israeli army . israeli forces have killed more than 34 , 500 palestinians , including 14 , 500 children , in gaza and nearly 490 , including 124 children , in the occupied west bank .","encamp, divest and keep your eyes on gaza"
nan,‘boycott germany for forcing palestinians to pay for its crimes’
""" does the united states want to be complicit in genocide ? "" this is the question that us leaders should be asking themselves as israel's war on gaza continues , argues columbia university professor jeffrey sachs .",professor jeffrey sachs: ‘us is complicit in israeli genocide’
"in a bid to keep palestinian culture alive , children sheltering in rafah , southern gaza , have created stunning pictures of historical buildings destroyed in the seven - month israel - palestine war .",palestinian children draw memories of bombed historical buildings
"israel has announced the entry of more than 300 aid trucks into gaza , the highest daily volume since its war on the besieged territory began six months ago .",more than 300 aid trucks enter gaza as palestinians battle starvation
